Student_ID,Age,Math_Score,Science_Score,English_Score,Hours_Studied,Pass_Fail
1,24,87.99,63.57,68.29,6.0,1
2,21,80.48,67.02,78.87,6.3,1
3,22,85.25,68.4,79.29,6.1,1
4,24,85.97,76.16,74.24,5.2,1
5,20,73.02,74.73,76.41,4.6,1
6,25,78.33,92.63,87.66,4.7,1
7,22,78.22,78.42,73.49,4.6,1
8,22,95.16,49.41,88.96,7.3,1
9,24,72.94,81.75,74.67,6.2,1
10,19,64.48,42.6,68.48,0.0,1
11,20,100.0,67.31,85.19,6.3,1
12,24,92.84,66.45,72.83,5.4,1
13,20,93.49,67.04,69.51,5.0,1
14,20,77.84,56.1,82.34,4.2,1
15,25,89.81,84.04,93.38,7.2,1
16,22,95.72,63.77,83.17,6.9,1
17,21,91.1,74.78,73.34,3.5,1
18,25,62.88,100.0,82.85,5.8,1
19,25,61.15,53.35,76.64,3.1,1
20,20,84.69,63.19,76.34,2.2,1
21,23,73.33,40.82,57.17,3.7,1
22,22,78.38,76.49,74.85,6.7,1
23,19,73.16,88.41,77.04,6.9,1
24,25,77.45,86.65,83.21,6.0,1
25,21,70.48,80.43,84.49,6.5,1
26,23,100.0,88.67,87.09,6.0,1
27,23,75.88,100.0,79.46,3.7,1
28,19,82.12,98.25,71.39,5.9,1
29,25,90.68,73.53,94.78,6.6,1
30,21,94.12,62.09,93.18,6.5,1
31,22,96.66,77.33,74.73,7.4,1
32,18,94.94,67.84,85.46,6.4,1
33,21,75.79,82.52,76.64,5.7,1
34,19,83.32,67.13,85.31,7.1,1
35,23,87.39,73.83,88.23,4.9,1
36,22,69.33,79.66,93.44,3.2,1
37,21,79.05,72.89,85.41,4.7,1
38,18,79.49,59.14,79.36,3.5,1
39,18,83.65,84.9,74.48,3.6,1
40,20,61.32,51.55,80.86,4.7,1
41,20,82.35,66.27,87.68,3.4,1
42,24,75.86,72.7,78.44,4.4,1
43,19,75.67,63.79,65.31,1.2,1
44,25,88.97,78.37,67.84,5.4,1
45,21,96.08,82.33,84.1,5.0,1
46,21,88.73,69.78,78.78,3.4,1
47,25,97.37,74.48,77.43,6.3,1
48,24,100.0,75.81,92.01,6.9,1
49,23,73.31,58.06,70.23,1.8,1
50,23,75.82,79.95,75.92,3.5,1
51,24,84.23,62.74,76.87,3.5,1
52,23,81.62,79.46,73.39,3.1,1
53,20,82.01,80.33,85.29,6.7,1
54,21,82.85,67.54,88.41,4.6,1
55,24,78.15,80.92,69.86,4.5,1
56,21,59.46,54.27,75.91,1.0,1
57,25,96.8,86.56,83.98,6.3,1
58,18,73.05,70.05,76.23,2.5,1
59,20,100.0,68.14,87.17,5.1,1
60,22,65.55,83.14,81.59,5.6,1
